Наименование  	Фото  	Состав	Цена	Увлажнение	Питание	Восстановление	Поверхностная	Подходит для кудрявых волос	Есть ли в составе силиконы?	Производство	Комментарий (если средство было в пользовании у меня или у многих учениц)
Aravia  Hydra Save Conditioner  Бальзам-кондиционер увлажняющий для восстановления сухих и обезвоженных волос 		 Aqua, Vitis Vinifera (Grape) Seed Oil, Glycerin, Cetearyl Alcohol, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Ceteareth-20, Cetrimonium Chloride, Cetearyl Alcohol, Cyclopentasiloxane, Dimethiconol, D-Panthenol, Hydrolyzed Wheat (And) Hydrolyzed Rye (And) Hydrolyzed Oat Proteins, Aloe Barbadensis Leaf Juice, Potassium Sorbate, Sodium Benzoate, Propylene Glycol, Bis (C13-15 Alkoxy) PG-Amodimethicone, C 14-15 Alcohols, Isotridecyl Alcohol, Polyquaternium-37, Parfum, Guar Hydroxypropyltrimonium Chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Citric Acid, ВНТ.	Средняя	+	+	+			+	РФ/СНГ	Можно использовать как комплексную маску.
Arganmidas Moroccan  Argan Oil Instant Repearing Mask  Маска для волос		Aqua,cetearyl alcohol,steartrimonium chloride,cyclopentasiloxane and dimethicone, hydroxyethylcellulose,phenoxyethanol, argania spinosa kernel oil, parfum,benzyl alcohol, chlorphenesin	Высокая				+		+	Канада	Подойдет в качестве пленочного кондиционера 
Aussie SOS Supercharged Repair hair mask Маска для волос "Сверхзаряд и Восстановление"		Aqua, Stearyl Alcohol, Bis-Aminopropyl Dimethicone, Behentrimonium Chloride, Cetyl Alcohol, Isopropyl Alcohol, Parfum, Phenoxyethanol, Benzylalcohol, Sodium Benzoate, Limonene, Disodium EDTA, Citric Acid, Polysorbate20, Linalool, Glycerin, Butylene Glycol, Santalum Acuminatum Fruit Extract, Leptospermum Scoparium Leaf Extract, Alcohol Denat	Средняя				+		+	Австралия	Хорошая закрывашка и средство для распутывания
AVEDA  Botanical Repair Intensive Strengthening Masque  Насыщенная интенсивно укрепляющая маска для волос		Water\Aqua\Eau, Cetearyl Alcohol, Stearamidopropyl Dimethylamine, Behentrimonium Methosulfate, Dicetyldimonium Chloride, Persea Gratissima (Avocado) Oil, Plukenetia Volubilis (Sacha Inchi) Seed Oil, Camellia Oleifera (Green Tea) Seed Oil, Butyrospermum Parkii (Shea Butter), Cocos Nucifera (Coconut) Oil, Helianthus Annuus (Sunflower) Seed Oil, Euphorbia Cerifera (Candelilla) Wax\Candelilla Cera\Cire De Candelilla, Behenyl/Octyldodecyl Propanediol Citrate Crosspolymer, Octyldodecyl Citrate Crosspolymer, Hydroxypropylammonium Gluconate, Hydroxypropylgluconamide, Bis-Ethyl(Isostearylimidazoline) Isostearamide, Tocopherol, Propanediol, Lactic Acid, Tricaprylyl Citrate, Heptyl Undecylenate, Cetyl Hydroxyethylcellulose, Squalane, Isopropyl Alcohol, Cetrimonium Chloride, Fragrance (Parfum), Amyl Cinnamal, Citral, Geraniol, Citronellol, Benzyl Salicylate, Benzyl Benzoate, Linalool, Hydroxycitronellal, Limonene, Benzyl Alcohol, Tartaric Acid, Sodium Benzoate, Caprylyl Glycol, Potassium Sorbate, Phenoxyethanol	Высокая		+			+		США	Питание (природные масла) 
BEAUTY HAIR  Moisturizing Для глубокого увлажнения сухих волос с гиалуроновой кислотой		AQUA, CETEARYL ALCOHOL, CETRIMONIUM CHLORIDE, GLYCERIN, HYDROLYZED HYALURONIC ACID, HYDROLYZED WHEAT PROTEIN, OLIVE OIL, CYCLOPENTASILOXANE, SERICIN, BEHENTRIMONIUM CHLORIDE, ALOE BARBADENSIS LEAF EXTRACT, PHENOXYETHANOL, GLYCERYL STEARATE, GLYCINE, ALANINE, CYSTEINE, DIMETHICONE, FRAGRANCE.	Средняя	 +		 +		 +	 +	Корея 	Легкий силикон, если нет проблем с завитком подойдет 
Belita - Витэкс Magic & Royal Hair		Вода, цетеариловый спирт, хлорид цетримония, амодиметикон, тридецет-12, хлорид бегентримония, глицерилстеарат, хлорид стеартримония, диметикон, масло косточек Prunus Armeniaca (абрикоса), этосульфат C10-40 изоалкиламидопропилэтилдимония, дипропиленгликоль, парфюмерная композиция, гидролизованный кератин, лимонная кислота, аминокислоты шелка, дезамидоколлаген, ЭДТА динатрия, бензиловый спирт, метилхлоризотиазолинон, метилизотиазолинон, метилпарабен, гидролизованный кератин (протеины кашемира), пропилпарабен	Средняя		+		+		 +	РФ/СНГ	Хорошая закрывашка и средство для распутывания 18-МЕА
Bielita Satin Hair Кондиционер-ополаскиватель для волос c малиновым уксусом “Волосы мечты”		вода, цетеариловый спирт, хлорид цетримония, диметикон, глицерин, масло Cocos Nucifera (кокоса), фосфат гидроксипропилкрахмала, поликватерниум-22, бис-гидрокси/метокси амодиметикон, цетеариловый спирт, цетеарет-20, парфюмерная композиция, поликватерниум-37, дикаприлат/дикапрат пропиленгликоля, ППГ-1 тридецет-6, уксус, эсктракт плодов Rubus Idaeus (малины), фермент Candida bombicola/глюкозы/метилрапсидата, масло плодов Olea Europaea (оливы), масло семян Helianthus Annuus (подсолнечника), масло косточек Argania Spinosa (арганы), экстракт корня Angelica Gigas (корейской ангелики), экстракт корня Lithospermum Erythororhizon, экстракт корня Glycyrrhiza Uralensis (солодки), изопропилмиристат, масло зародышей Triticum vulgare (пшеницы), токоферилацетат, БГТ, поликватерниум-10, ЭДТА динатрия, бензиловый спирт, метилхлоризотиазолинон, метилизотиазолинон, метилпарабен, пропилпарабен, краситель красный, краситель красный		 +	+					Беларусь	Больше для дней легкого ухода
Briogeo Don't Despair, Repair!  Deep Conditioning Mask		Water/Aqua/Eau, Brassica Alcohol*, Cetyl Alcohol*, Propanediol*, Stearyl Alcohol*, Persea Gratissima (Avocado) Oil*, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Rosa Canina Fruit Oil*, Argania Spinosa Kernel Oil*, Aloe Barbadensis Leaf Juice*, Panthenol, Leuconostoc/Radish Root Ferment Filtrate*, Biotin, Hydrolyzed Corn Protein*, Hydrolyzed Wheat Protein*, Hydrolyzed Soy Protein*, Panax Ginseng Root Extract*, Calendula Officinalis Flower Extract*, Laurus Nobilis Leaf Extract*, Palmaria Palmata Extract*, Guar Hydroxypropyltrimonium Chloride*, Cetyl Esters*, Isododecane, Cetrimonium Chloride*, Cetearyl Alcohol*, Behentrimonium Methosulfate*, Brassicyl Isoleucinate Esylate*, Citric Acid*, Isopropyl Myristate*, Butylene Glycol, Glycerin*, Fragrance (Parfum), Dehydroacetic Acid, Benzyl Alcohol	Средняя	+	+	+		+		UK	
CocoChoco  INTENSIVE   Кондиционер для интенсивного увлажнения		Aqua, Behentrimonium Chloride, Sodium Hyaluronate (Hyaluronic acid), Amodimethicone, Stearamidopropyl Dimethylamine Lactate, D-Panthenol (Pro Vitamin B-5), Hydrolyzed Wheat Starch, Camellia Sinensis (Green Tea) leaf extract, Olea Europaea (Olive) leaf extract, Aloe Barbadensis (Aloe Vera) leaf juice, Algae extract, Butyrospermum Parkii (Shea) butter, Argania Spinosa Kernel oil (Argan), Tocopheryl Acetate (Vitamin E), Rosmarinus Officinalis (Rosemary) extract, Glycerin (and) PEG-8 (and) PEG-8/SMDI Copolymer (and) Palmitoyl Myristate Serinate (and) Sodium Polyacrylate (Ceramide), Fragrance, Plantain (Plantago Major) extract, Hydrolyzed Keratin, Cetrimonium chloride, Hydrolyzed Whole Wheat Protein, Caprylic/Capric Triglyceride, Phenoxyethanol, Sorbic acid, Benzyl Alcohol	Высокая	+	+			+	+	ЕС Израиль	Увлажнение, силикон смывается водой и шампунем, кудрям можно пробовать, но только если нет проблем с завитком
COCOCHOCO boost-up for volume and fine hair		Aqua, Cetearyl Alcohol and Behentrimonium Methosulfate, Amodimethicon, Stearamidopropyl Dimethylamine Lactate, PEG-60 Almond Glycerides, PG-Propyl Silanetriol, D-Panthenol (Pro Vitamin B-5), Hydrolyzed Wheat Starch, Camellia Sinensis (Green Tea) leaf extract, Sodium Hyaluronate (Hyaluronic acid), Olea Europaea (Olive) leaf extract, Aloe Barbadensis (Aloe Vera) leaf juice, Algae extract, Caprylic/Capric Triglyceride, Argania Spinosa Kernel oil (Argan), Glycerin (and) PEG-8 (and) PEG-8/SMDI Copolymer (and) Palmitoyl Myristate Serinate (and) Sodium Polyacrylate (Ceramide), Fragrance, Plantain (Plantago Major) extract, Hydrolyzed Keratin, Cetrimonium chloride, Hydrolyzed Whole Wheat Protein, Caprylic/Capric Triglyceride, Phenoxyethanol, Sorbic acid, Benzyl Alcohol	Высокая	+	+					ЕС Израиль	
Color WOW Color Security Conditioner		Aqua/Water, Cetearyl Alcohol, Dimethicone, Behentrimonium Chloride, Amodimethicone, Butylene Glycol, Phenoxyethanol, Fragrance/Parfum, Stearamidopropyl Dimethylamine, Isopropyl Alcohol, Ceteareth-20, Panthenol, Persea Gratissima (Avocado) Oil, Propylene Glycol, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Argania Spinosa Kernel Oil, Sorbitan Oleate, Ethylhexylglycerin, Hydrolyzed Rice Protein, Cetrimonium Chloride, Disodium EDTA, Trideceth-12, Dimethiconol, Polyquaternium-7, Hydrolyzed Keratin, Sodium Benzoate, Potassium Sorbate, Benzyl Alcohol, Potassium Benzoate, Linalool, Hexyl Cinnamal, Citronellol	Высокая				+		+	США	Хорошая закрывашка и средство для распутывания
Color WOW Money Mask маска		Aqua (Water), Stearyl Alcohol, Dimethicone, Cetyl Alcohol, Stearamidopropyl Dimethylamine, Butylene Glycol, Dicetyldimonium Chloride, Behentrimonium Chloride, Propanediol, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Citric Acid, Chlorella Pyrenoidosa Extract, Chondrus Crispus (Carrageenan) Extract, Undaria Pinnatifida Extract, Laminaria Saccharina Extract, Ceteareth-20, Dimethiconol, Phenoxyethanol, PPG-26-Buteth-26, Apigenin, Oleanolic Acid, Biotinoyl Tripeptide-1, Crambe Maritima (Blue Sea Kale) Leaf Extract, Fragrance, Chlorphenesin, PEG-40 Hydrogenated Castor Oil, Isopropyl Alcohol, Caprylyl Glycol, Propylene Glycol, Potassium Benzoate, Potassium Sorbate, Disodium EDTA, Benzyl Salicylate, Alpha-isomethyl ionone, CI 42090, CI 60730.	Высокая	+		+			+	США	
Compliment  Кератиновое восстановление  Для окрашенных и поврежденных волос		Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Hydrolyzed Keratin, Glycerin, Hydrolyzed Ceratonia Siliqua Seed Extract, Zea Mays Starch, Sodium Benzoate, Potassium Sorbate, Polyquaternium-7, Guar Hydroxypropyltrimonium Chloride, D-Panthenol, Rhododendron Ferrugineum Leaf Cell Culture Extract, Lecithin, Sodium Benzoate, Lactic Acid, Parfume, Phenoxyethanol, Disodium EDTA, Citric Acid	Средняя	+		+		+		РФ/СНГ	Легкое комплексное средство.   Кудрям можно пробовать, но только если нет проблем с завитком
Compliment  Color Gloss  Маска для волос с эффектом ламинирования		Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Glycerin, Hydrolyzed Keratin, D-Panthenol, Hydrolyzed Silk, Silicone Quaternium-16 (and) Undeceth-11 (and) Butyloctanol (and) Undeceth-5, Creatin, Disodium EDTA, Phenoxyethanol, Pаrfum, Citric Acid	Средняя	+		+			+	РФ/СНГ	Легкое комплексное средство.   Кудрям можно пробовать, но только если нет проблем с завитком
Compliment  Oil Therapy  Маска для волос  с маслом арганы		Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Glycerin, Hydrolyzed Keratin, Argania Spinosa Kernel Oil, Macadamia Terniolia Nut Oil, Coconut Oil, Butyrospermum Parkii (Shea Butter) Oil, D-Panthenol, Disodium EDTA, Phenoxyethanol, Pаrfum, Citric Acid.	Средняя	+	+	+		+		РФ/СНГ	Комплекс. Упор на питание (природные масла) 
Compliment  PROFESSIONAL AQUA LINE  Маска-суфле для экстра увлажнения волос		Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Glycerin, Amodimethicone, Laureth-9, Betaine, Aloe Barbadensis (Aloe Vera) Leaf Extract, Hydrolyzed Corn Protein, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Panthenol, Propylene Glycol, Sodium Hyaluronate, Parfum, Phenoxyethanol, Disodium EDTA, Citric Acid, BHT. 	Средняя	+		+		+	+	РФ/СНГ	кудрям можно пробовать, но только если нет проблем с завитком
CONCEPT  Keratin & Honey Repair Mask  Маска Интенсивное восстановление		Aqua, Cetearyl alcohol, Propylene glycol, Bis-Hydroxy/Methoxy Amodimethicone, Cetrimonium Chloride, Glycerin, Cyclopentasiloxane, Glyceryl Stearate, PEG-100 Stearate, Olea europaea fruit oil, Ceteareth-23, Silicone Quternium-18, Trideceth-6, Trideceth-12, Parfum, Hydroxyethylcellulose, Hydrolyzed keratin, Linum isitassimum seed oil, Mel extract, Royal jelly extract, Propolis extract, Benzophenone-4, Disodium EDTA, Brassica Napus seed oil, Glyceryl Palmitate/Stearate, BHA, BHT, Propyl gallate, Citric acid, Sodium Acetate, Isopropyl Alcohol, Cellulose, Methylchloroisothiazolinone, Methylisothiazolinone, Sodium Benzoate, Potassium Sorbate	Средняя	+			+		+	РФ/СНГ	
CP-1  BС Intense Nourishing Version 2.0  Кондиционер для волос Протеиновый 		Water Aqua), Cetearyl Alcohol, Glycerin, Dimethicone, Cyclopentasiloxane, Amodimethicone, Parfum, Behentrimonium Chloride, Steartrimonium Chloride, Sodium Benzoate, Cyclohexasiloxane, Propylene Glycol, Cetrimonium Chloride, Polysorbate 20, Butyrospermum Parkii (Shea) Butter, Glyceryl Stearate, PEG-100 Stearate, Isopropyl Alcohol, Hydrogenated Polyisobutene, Citric Acid, Caprylyl Glycol, Dimethiconol, Linalool, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cocos Nucifera (Coconut) Oil, Argania Spinosa Kernel Oil, Silkworm Cocoon Extract, Butylene Glycol, Citronellol, Hydrolyzed Keratin, Panthenol, Hydrolyzed Silk, 1,2-Hexanediol, Hydrolyzed Collagen, ,LYSINE HCL, Hydrolyzed Rice Protein, Glycine, Gelatin, Hydrolyzed Wheat Protein, Avena Sativa (Oat) Protein Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Keratin Amino Acids, Hydrolyzed Elastin, Glycyrrhiza Glabra (Licorice) Root Extract, Hydrolyzed Soy Protein, Hydrolyzed Corn Protein, Glycine Soja (Soybean) Flour, Valine, Serine, Glutamic Acid, Ethyl Hexanediol, Cysteine HCL, Arginine, Phenylalanine, Isoleucine, Aspartic Acid, Alanine, Threonine, Proline, Methionine, Histidine	Высокая	+			+		+	Корея	
CUTRIN Ainoa Moisture Treatment 		Aqua (water), Cetearyl Alcohol, Stearamidopropyl Dimethylamine, Glycerin, Behentrimonium Chloride, Caprylic/capric Triglyceride, Coco-caprylate, Vaccinium Myrtillus (bilberry) Seed Oil, Peg-20 Stearate, Glyceryl Stearate, Lauryl Alcohol, Panthenol, Saccharide Isomerate, Myristyl Alcohol, Peg-8, Tocopherol, Propanediol, Quaternium-95, Ascorbyl Palmitate, Sodium Citrate, Ascorbic Acid, Helianthus Annuus (sunflower) Seed Oil, Rosmarinus Officinalis (rosemary) Leaf Extract, Citric Acid, Sodium Benzoate, Potassium Sorbate, Parfum (fragrance), Citronellol 	Высокая	+	+			+		ЕС	
Daeng Gi Meo Ri  Honey Intensive Hair Mask   Интенсивная маска для поврежденных волос 		Water, Dimethicone, Cetyl Alcohol, Chr ysanthemum Boreale Flower/Leaf/Stem Extract, Stearamidopropyi Dimethylamine, Stearyl Alcohol Cetrimonium Chloride, Glutamic Acid, Dicaprylyl Carbonate, Thuja Orientalis Leaf Extract, Morus Alba Bark Extract, Houttuynia Cordata Extract, Polygo num Multiflorum Root Extract, Myristyl Alcohol, Menthol, Behentrimonium Chloride, Rehmannia Glutinosa Root Extract, Lauryl Alcohol, PEG-10, Iso propyl Alcohol, Glycerin, Artemisia Vulgaris Extract Panax Ginseng Root Extract, Butylene Glycol, Pers ea Gratissima (Avocado) Oil, Honey, Helianthus Annuus (Sunflower) Seed Oil, Citric Acid, Keratin, Panthenol, Lactobacillus/ Artemisia Princeps Leaf Extract/Honeysuckle Flower Extract/Paeonia Albif lora Root Extract/Phellodendron Amurense Bark Extract Ferment Filtrate, Lecithin, Phenyl Trimethi cone, Caprylic/capric Triglyceride, Hydrolyzed Sik Tocopheryl Acetate, Hydrolyzed Keratin, Royal Jelly Extract, Ceramide NP. Sodium Benzoate, Phenoxy ethanol, Fragrance, Limonene, Linalool, Benzyl Benzoate 	Высокая				+		+	Корея	Кондиционирующий уход 
Davines  LOVE  Кондиционер для разглаживания завитка		Water, Dimethicone, Cetyl Alcohol, Chr ysanthemum Boreale Flower/Leaf/Stem Extract, Stearamidopropyi Dimethylamine, Stearyl Alcohol Cetrimonium Chloride, Glutamic Acid, Dicaprylyl Carbonate, Thuja Orientalis Leaf Extract, Morus Alba Bark Extract, Houttuynia Cordata Extract, Polygo num Multiflorum Root Extract, Myristyl Alcohol, Menthol, Behentrimonium Chloride, Rehmannia Glutinosa Root Extract, Lauryl Alcohol, PEG-10, Iso propyl Alcohol, Glycerin, Artemisia Vulgaris Extract Panax Ginseng Root Extract, Butylene Glycol, Pers ea Gratissima (Avocado) Oil, Honey, Helianthus Annuus (Sunflower) Seed Oil, Citric Acid, Keratin, Panthenol, Lactobacillus/ Artemisia Princeps Leaf Extract/Honeysuckle Flower Extract/Paeonia Albif lora Root Extract/Phellodendron Amurense Bark Extract Ferment Filtrate, Lecithin, Phenyl Trimethi cone, Caprylic/capric Triglyceride, Hydrolyzed Sik Tocopheryl Acetate, Hydrolyzed Keratin, Royal Jelly Extract, Ceramide NP. Sodium Benzoate, Phenoxy ethanol, Fragrance, Limonene, Linalool, Benzyl Benzoate 	Высокая	+					+	ЕС	Увлажнение, не подходит для кудрей
Davines OI  Absolute Conditioner  Кондиционер для абсолютной красоты волос		Aqua / water / eau, cetearyl alcohol, glycerin, dimethicone, cetrimonium chloride, behentrimonium chloride, behentrimonium methosulfate, cetyl alcohol, panthenol, phenylpropyldimethylsiloxysilicate, benzyl alcohol, parfum / fragrance, isopropyl alcohol, dimethiconol, citric acid, disodium edta, sodium benzoate, tocopherol, citronellol, bixa orellana seed oil.	Высокая	+					+	ЕС	Увлажнение, пленки, не подходит для кудрей
DOVE  "Интенсивное восстановление"  супер кондиционер для волос 1-минутный		Aqua, Cetearyl Alcohol, Dimethicone, Behentrimonium Chloride, Argania Spinosa Kernel Oil, Amodimethicone, Cetrimonium Chloride, Cocos Nucifera Oil, Dipropylene Glycol, Disodium EDTA, Gluconolactone, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Magnesium Chloride, Magnesium Nitrate, Methylchloroisothiazolinone, Methylisothiazolinone, Paraffinum Liquidum, Parfum, PEG-7 Propylheptyl Ether, Phenoxyethanol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sodium Sulfate, Tocopheryl Acetate, Trehalose, Hexyl Cinnamal, Linalool	Средняя		+				+	ЕС РФ/СНГ	Питание, пленки, не подходит для кудрей
Dr. Sante Aloe Vera  Маска реконструкция интенсивное восстановление		Aqua, Cetearyl Alcohol, Potassium Cetyl Phosphate, Behentrimonium Chloride, Aloe Barbadensis Leaf Juice, Panthenol, Butyrospermum Parkii Butter, Persea Gratissima Oil, Olea Europaea Fruit Oil, Butylene Glycol, Oryza Sativa Bran Extract, Hydrolyzed Keratin, Cetrimonium Chloride, Undeceth-11, Butyloctanol, Unde- ceth-5, Silicone Quaternium-16, Divinyldimethicone/ Dimethicone Copolymer, C12-13 Pareth-23, C12-13 Pareth-3, Amodimethicone, Trideceth-10, Isopropyl Alcohol, Citric Acid, Parfum, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Acetic Acid, Methylchloroisothiazolinone, Methylisothiazolinone, Benzyl Alcohol, Triethylene Glycol, Propylene Glycol, Hexyl Cinnamal, Linalool, Limonene	Средняя	+	+				+	ЕС	Увлажнение + питание (жирные масла) 
